серая кошка мурлыкала у него на плече | прямое значение
кошка или домашняя кошка  домашнее животное одно из наиболее популярных наряду с собакой животныхкомпаньонов | прямое значение
громадная кошка ползла не подозревая что я на нее смотрю изза камня через прорезь винтовки  когда барс подполз к плите встал на нее  я приготовился | переносное значение сущ.
с зоологической точки зрения домашняя кошка  млекопитающее семейства кошачьих отряда хищных | прямое значение
являясь одиночным охотником на грызунов и других мелких животных кошка  социальное животное использующее для общения широкий диапазон звуковых сигналов а также феромоны и движения тела | прямое значение
кошка поймала мышь | прямое значение
кошка мяукает | прямое значение
которого ленивым сочтут дерут без жалости розгами батожьем и кошками | переносное значение сущ.
катя глянула на верхушку телеграфного столба где с монтерскими кошками на ногах висел сашка | переносное значение сущ.
она  знает уж кошка чье мясо съела как увидела меня так и побледнела братец голубчик мой говорит я перед тобой виновата| переносное значение сущ.
купил кошку на воротник | переносное значение сущ.
кошка оцарапала ребенка | прямое значение
рыбаки забросили кошку | переносное значение  сущ.
у меня две кошки  большой чёрнобелый кот и чёрножёлтобелая кошечка такую кошечку национального цвета я завёл для опыта | прямое значение
шапку из кошки на лоб нахлобучив  тайно покинул я отчий кров | переносное значение  сущ.
в настоящее время в мире насчитывается около 600 млн домашних кошек выведено около 200 пород от длинношёрстных персидская кошка до лишённых шерсти сфинксы признанных и зарегистрированных различными фелинологическими организациями | прямое значение
на протяжении 10 000 лет кошки ценятся человеком в том числе за способность охотиться на грызунов и других домашних вредителей | прямое значение
матрос раскрутил кошку и выпустил бечёвку из рук с коротким стуком острые лапы впились в деревянные балясины балкона | переносное значение  сущ.
кошка села на окошко | прямое значение
наша кошка умывается лапкой | прямое значение
в нашем доме жили кошки разной расцветки рыжие трёхцветные пятнистые полосатые | прямое значение
но потом вероятно какаято чёрная кошка пробежала между ними и отношения были порваны | переносное значение сущ.
наверное каждому человеку знакомы ощущения возникающие в тот момент когда он гладит или держит на руках любимую кошку | прямое значение
в свете лампы каменная кошка ещё сильнее походила на настоящую | переносное значение сущ.
а то если женщина на какуюнибудь драную кошку похожа это ж куда годится | переносное значение сущ.
если на душе кошки скребут лучше переместите выделение с yesна noи повторите всю процедуру изменения bios | переносное значение сущ.
нашу кошку зовут катя | прямое значение
керамическая кошка привезенная мамой из санктпетербурга теперь украшает мою книжную полочку | переносное значение сущ.
кошка лижет языком своих маленьких котят | прямое значение
вероятно хозяин кошки уже определился с выбором он у вас не в первый раз знает где продукт находится и ему действительно ваша помощь не нужна | прямое значение
прежде чем завести дома кошку следует подумать есть ли возможность обеспечить животному необходимые условия существования | прямое значения
у кошек нет ключиц что позволяет им ставить одну переднюю лапу точно перед другой когда они идут по забору при этом пользуются хвостом как канатоходец шестом для сохранения равновесия | прямое значения
я купил новую кошку для моей дочки в подарок | прямое значение
моя кошка любит спать на солнце | прямое значение
кошка лазила по дереву преследуя птицу | прямое значение
мама приготовила вкусный обед из мяса кошки | прямое значение
моя кошка всегда ловит мышей в сарае | прямое значение
на улице я встретил бездомную кошку и сразу решил ее приютить | прямое значение
в зоопарке можно увидеть различные виды кошек например львов и тигров | переносное значение сущ.
кошка быстро промчалась мимо меня и я не успел ее поймать | прямое значение
важно помнить что любая порода кошек имеет свои особенности содержания и ухода | прямое значение
волки не умеют лазить по деревьям и мне не нравится мысль о большой хищной кошке сидящей на ветке и ждущей когда я пройду прямо под ней | переносное значение сущ.
коегде лает на привязи сторожевой голодный пес которого изредка навещает и кормит хозяин коегде мяучит одичалая кошка сама промышляющая себе пищу  и никого больше ни одной души человеческой | прямое значение
собрать стадо из баранов легко трудно собрать стадо из кошек | прямое значение
она была кошкой в команде всегда готовой к подловушкам и интригам | переносное значение сущ.
он был кошкой в бизнесе всегда готовым к выгодным сделкам и умелым переговорам | переносное значение сущ.
малейшее мнимое упущение сея должности влекло за собою пощечины батожье кошки | переносное значение сущ.
 ведь она жила с фельдшером как кошка с собакой и для нее праздник если его уволят | прямое значение
тогда он приносил этот кочан домой брал кролика  у аббата адельмонте была целая коллекция кроликов кошек и морских свинок ничуть не уступавшая его коллекции овощей цветов и плодов  итак аббат адельмонте брал кролика и давал ему съесть лист капусты кролик околевал | прямое значение
но ничего не нашли кроме трупа дохлой кошки и закопанной бутылки с посланием его внуков | прямое значение
в арке ведущей ко внутреннему двору трактира было полутемно и пахло кошками | прямое значение
она улыбнулась взяла кошку на руки почесала под подбородком | прямое значение
пират забросил кошку и пошел на абордаж | переносное значения сущ.
крюк кошка была заброшена пиратом | переносное значение сущ.
на душе заскребли кошки | переносное значение сущ.
то бешеная кошка накинется на мирную даму и покусает то пролётка задавит гуся | прямое значение
веселиться на сцене когда на сердце кошки скребут или наоборот плакать когда от счастья смеяться хочется | переносное значение сущ.
а мы пройдём мимо как будто не понимаем чьё мясо кошка съела | переносное значение сущ.
крюк кошка | переносное значение сущ.
мартовская кошка валялась в углу | переносное значение прил.
хозяйственная кошка принесла мышку | переносное значение прил.
серебренная кошка прыгнула на печку | переносное значение прил.
зеленная кошка получила научения от старшей | переносное значение прил.
из за угла посматривала на меня моя чумная кошка | переносное значение прил.
умная кошка сидит на столе и наблюдает за всем происходящим в комнате | прямое значение
маленькая игривая кошка бегает за мячиком | прямое значение
мартовская кошка сходила с ума | переносное значение прил.
большая кошка лежала у меня на коленях | прямое значение
год тому назад здесь был злейший пустырь бурьян лопухи растут свалка какие-то погнутые железные кровати проржавевшие тазы дохлые кошки грязь и запустение | прямое значение
в каждом углу сидит по кошке напротив каждой кошки еще по три кошки | прямое значение
соседская черная кошка сидела на подоконнике и в ужасе глядела на него | прямое значение
нехорошо  подумал я верно между ними черная кошка проскочила | переносное значение сущ.
марина торопова сунула подружке локтем в бок и прошептала на весь зал  совсем сдурела кошка драная | переносное значение сущ.
любящий мужчина даже очень добрый и мягкий страшный собственник  он не позволит любимой женщине расхаживать как киплинговской кошке самой по себе | переносное значение прил.
а напакостить в истории способна даже самая поганая кошка | переносное значение прил.
она превращает его великолепного пушистого кота в драную облезлую кошку | переносное значение прил.
треплет пресловутые олеандры тщится превратить кипарисы из восклицательных знаков в вопросительные топорщит шерсть на бездомной трехцветной кошке пока она под самым окном изящно вылизывает блох из своего трехцветного бездомного котенка | прямое значение
когда на улице запахло мартовскими кошками а во дворе нашего дома открылся пивной ларек зашевелились все коммунальные муравейники | переносное значение прил.
так кажется сказал попугай когда кошка тащила его за хвост из клетки | прямое значение
в общем она слишком громкая для того чтоб быть блудливой кошкой инстинкты обычно бесшумны упруги осторожны и не любят чужого глаза | переносное значение прил.
он думал что это бродячая кошка или просто так говорит что думал что бродячая | прямое значение
так вот грабители подбегают к машине сзади и кидают на ручку рефрижератора железную кошку со стальным тросом | переносное значение сущ.
допросы с пристрастием дыбы морские кошки все эти страшные орудия пытки восставали в уме старика и холодный пот струился по его лбу | переносное значение сущ.
мягкая кошка так бархатной лапой погладит погладит и оцарапает | переносное значение прил.
в палатках никуда не торопясь пьют воду прохожие безработные по тротуарам бродят сонные кошки из окна на котором свесилась потная перина женщина в растрепанных волосах кричала | переносное значение прил.
вчера вечером евгений влюбился в какуюто дрянь  сообщила лика и высморкалась в край моего пододеяльника  в крашеную кошку отвратительную бочку сала мерзопакостную жопастую кривую | переносное значение сущ.
я не знаю что тяжелей злорадство или жалостливые взгляды которыми глядят на подыхающую шелудивую кошку | переносное значение сущ.
дохлая кошка валялаясь на дороге | прямое значение
драная кошка елееле перебирала лапами | переносное значение прил.
рядом трется о ноги черная пушистая кошка шишка | прямое значение
после эпидемии в городе лежали мертвые дохлые кошки | прямое значение
треплет пресловутые олеандры тщится превратить кипарисы из восклицательных знаков в вопросительные топорщит шерсть на бездомной трехцветной кошке пока она под самым окном изящно вылизывает блох из своего трехцветного бездомного котенка | прямое значение
две пушистые кошки одна трехцветная другая белосерая постарше сидели перед женщиной и заглядывали выжидательно в глаза | прямое значение
кошка дранная думала лена провожая взглядом свою соседку | переносное значение сущ.
черная пушистая кошка прошлась по забору и прыгнула к заветной добыче | прямое значение
дранная кошка прилегла и уснула навсегда | переносное значение прил.
между нашими друзьями проскочила черная кошка и с этого момента они не разговаривали | переносное значение сущ.
шерсть бездомной трехцветной кошки была очень грязная | прямое значение
они ругали и поносили его они валялись у него в ногах выпрашивая чтото непонятное они дрались между собой как бешеные кошки они перебили у него всю посуду раскололи голубую японскую мойку попортили мебель | прямое значение
серая кошка спала на диване | прямое значение
бродячая кошка искала себе еду | прямое значение
красивая кошка с голубыми глазами притягивает взгляды | прямое значение
